threshold,precision,recall,f1,routed_count,routed_rate,heavy_call_reduction,tn,fp,fn,tp,model_name,model_role
1.0,1.0,0.005483870967741935,0.010907924286172602,17,0.00019191474469694404,0.9998080852553031,85481,0,3083,17,LogisticRegression,light
0.9999486399689856,0.9536082474226805,0.05967741935483871,0.11232544019429265,194,0.0021900859100710086,0.997809914089929,85472,9,2915,185,LogisticRegression,light
0.9989923211850786,0.9083557951482479,0.10870967741935483,0.19418035148372226,371,0.004188257075445073,0.9958117429245549,85447,34,2763,337,LogisticRegression,light
0.9945723160393369,0.8761384335154827,0.15516129032258064,0.2636338722937791,549,0.006197717343448369,0.9938022826565517,85413,68,2619,481,LogisticRegression,light
0.9845875041644229,0.8360881542699724,0.19580645161290322,0.3173026659696811,726,0.008195888508822434,0.9918041114911775,85362,119,2493,607,LogisticRegression,light
0.9729661364665453,0.7876106194690266,0.2296774193548387,0.35564435564435565,904,0.01020534877682573,0.9897946512231742,85289,192,2388,712,LogisticRegression,light
0.9579168897068561,0.7354301572617946,0.2564516129032258,0.3802917962209998,1081,0.012203519942199795,0.9877964800578002,85195,286,2305,795,LogisticRegression,light
0.9421849191705084,0.6910246227164416,0.2806451612903226,0.39917412250516177,1259,0.014212980210203091,0.9857870197897969,85092,389,2230,870,LogisticRegression,light
0.9249822076308829,0.6511142061281338,0.3016129032258065,0.4122574955908289,1436,0.016211151375577156,0.9837888486244228,84980,501,2165,935,LogisticRegression,light
0.9115259024825002,0.6177199504337051,0.32161290322580643,0.42299533305048787,1614,0.01822061164358045,0.9817793883564195,84864,617,2103,997,LogisticRegression,light
0.8996418732534518,0.5896147403685092,0.3406451612903226,0.43181353506440406,1791,0.020218782808954516,0.9797812171910455,84746,735,2044,1056,LogisticRegression,light
0.8862193165544618,0.5561198577958355,0.3532258064516129,0.4320378772933517,1969,0.022228243076957813,0.9777717569230422,84607,874,2005,1095,LogisticRegression,light
0.875152296304717,0.5302889095992545,0.3670967741935484,0.4338543652306519,2146,0.02422641424233188,0.9757735857576681,84473,1008,1962,1138,LogisticRegression,light
0.8635190564859822,0.5094664371772806,0.38193548387096776,0.4365781710914454,2324,0.026235874510335173,0.9737641254896648,84341,1140,1916,1184,LogisticRegression,light
0.8531560093359195,0.48900439824070374,0.3945161290322581,0.4367077307623639,2501,0.028234045675709238,0.9717659543242908,84203,1278,1877,1223,LogisticRegression,light
0.8430117387804132,0.47256438969764836,0.40838709677419355,0.43813808617407857,2679,0.030243505943712536,0.9697564940562875,84068,1413,1834,1266,LogisticRegression,light
0.8340593019106938,0.45553221288515405,0.4196774193548387,0.4368703828072532,2856,0.0322416771090866,0.9677583228909135,83926,1555,1799,1301,LogisticRegression,light
0.8246114423212797,0.44100197758734344,0.4316129032258065,0.43625692859471793,3034,0.034251137377089895,0.9657488626229102,83785,1696,1762,1338,LogisticRegression,light
0.8151621519818953,0.4263469324198069,0.44161290322580643,0.4338456662969419,3211,0.03624930854246396,0.963750691457536,83639,1842,1731,1369,LogisticRegression,light
0.8059118553058563,0.41192092062555324,0.4503225806451613,0.43026660502388653,3389,0.038258768810467254,0.9617412311895327,83488,1993,1704,1396,LogisticRegression,light
0.7968960932354,0.4001682557487381,0.4603225806451613,0.42814281428142814,3566,0.04025693997584132,0.9597430600241587,83342,2139,1673,1427,LogisticRegression,light
0.7889738685872142,0.3888888888888889,0.4696774193548387,0.4254821741671537,3744,0.042266400243844614,0.9577335997561554,83193,2288,1644,1456,LogisticRegression,light
0.7809894882833562,0.37770976791634786,0.47774193548387095,0.4218772254664578,3921,0.04426457140921868,0.9557354285907813,83041,2440,1619,1481,LogisticRegression,light
0.7726963857214831,0.367162722615272,0.4854838709677419,0.418113626892624,4099,0.04627403167722198,0.953725968322778,82887,2594,1595,1505,LogisticRegression,light
0.7655488194271218,0.3568755846585594,0.492258064516129,0.4137744034707158,4276,0.04827220284259604,0.951727797157404,82731,2750,1574,1526,LogisticRegression,light
0.7581885512853648,0.3482263134261338,0.5003225806451613,0.4106433677521843,4454,0.05028166311059934,0.9497183368894007,82578,2903,1549,1551,LogisticRegression,light
0.7507022813040345,0.3418268192614986,0.5106451612903226,0.4095201138274479,4631,0.0522798342759734,0.9477201657240266,82433,3048,1517,1583,LogisticRegression,light
0.7432848840277566,0.33312538989394885,0.516774193548387,0.40510810469085845,4809,0.0542892945439767,0.9457107054560233,82274,3207,1498,1602,LogisticRegression,light
0.7368365316590527,0.3267148014440433,0.525483870967742,0.40291862478357654,4986,0.05628746570935076,0.9437125342906493,82124,3357,1471,1629,LogisticRegression,light
0.7308681635040991,0.3195197521301317,0.532258064516129,0.39932236205227495,5164,0.05829692597735406,0.941703074022646,81967,3514,1450,1650,LogisticRegression,light
0.7243993108756394,0.31342445234974725,0.54,0.39663546973107455,5341,0.06029509714272813,0.9397049028572719,81814,3667,1426,1674,LogisticRegression,light
0.7174098205291298,0.3089887640449438,0.55,0.39568345323741005,5518,0.06229326830810219,0.9377067316918978,81668,3813,1395,1705,LogisticRegression,light
0.7110273551687069,0.30179073033707865,0.5545161290322581,0.3908594815825375,5696,0.06430272857610549,0.9356972714238945,81504,3977,1381,1719,LogisticRegression,light
0.7056054149908484,0.29490890515920315,0.5587096774193548,0.38604702997882534,5873,0.06630089974147955,0.9336991002585204,81340,4141,1368,1732,LogisticRegression,light
0.7002422985153975,0.2900347050074368,0.5661290322580645,0.3835646377445088,6051,0.06831036000948285,0.9316896399905171,81185,4296,1345,1755,LogisticRegression,light
0.6942906687148854,0.2848426461143224,0.572258064516129,0.380360205831904,6228,0.07030853117485691,0.9296914688251431,81027,4454,1326,1774,LogisticRegression,light
0.6884260952236613,0.27958164221042775,0.577741935483871,0.3768146433831265,6406,0.0723179914428602,0.9276820085571398,80866,4615,1309,1791,LogisticRegression,light
0.6831591310952353,0.274494911134741,0.5829032258064516,0.37323143653826296,6583,0.07431616260823427,0.9256838373917657,80705,4776,1293,1807,LogisticRegression,light
0.6778297532658599,0.2688951338559385,0.5864516129032258,0.36872528141162153,6761,0.07632562287623756,0.9236743771237624,80538,4943,1282,1818,LogisticRegression,light
0.6731093911126306,0.2643413087345056,0.5916129032258064,0.3654114365411436,6938,0.07832379404161163,0.9216762059583884,80377,5104,1266,1834,LogisticRegression,light
0.6683691958243929,0.2591343451377178,0.5948387096774194,0.3610023492560689,7116,0.08033325430961492,0.9196667456903851,80209,5272,1256,1844,LogisticRegression,light
0.6638785645964885,0.2544906074317839,0.5987096774193549,0.35716347541614546,7293,0.08233142547498899,0.917668574525011,80044,5437,1244,1856,LogisticRegression,light
0.6587892530055218,0.24949805916209342,0.6012903225806452,0.3526629457950998,7471,0.08434088574299228,0.9156591142570077,79874,5607,1236,1864,LogisticRegression,light
0.6538489910306492,0.24581589958158995,0.6064516129032258,0.34983252698176404,7648,0.08633905690836635,0.9136609430916336,79713,5768,1220,1880,LogisticRegression,light
0.6492755633473152,0.24214157935088168,0.6112903225806452,0.34687900421014095,7826,0.08834851717636966,0.9116514828236304,79550,5931,1205,1895,LogisticRegression,light
0.6447750467750604,0.23841059602649006,0.6154838709677419,0.3436908943528776,8003,0.09034668834174371,0.9096533116582562,79386,6095,1192,1908,LogisticRegression,light
0.639979752670129,0.23505683901723506,0.6203225806451613,0.34092722276393933,8181,0.09235614860974702,0.9076438513902529,79223,6258,1177,1923,LogisticRegression,light
0.6356646064648032,0.23175400813591768,0.6248387096774194,0.3381043812183627,8358,0.09435431977512107,0.9056456802248789,79060,6421,1163,1937,LogisticRegression,light
0.6308410689066404,0.22844423617619494,0.6290322580645161,0.33516672396012376,8536,0.09636378004312438,0.9036362199568756,78895,6586,1150,1950,LogisticRegression,light
0.626483828500754,0.22506599334328015,0.6325806451612903,0.33200711081012446,8713,0.09836195120849843,0.9016380487915016,78729,6752,1139,1961,LogisticRegression,light
0.6223379526744492,0.22168484984816106,0.6358064516129033,0.32874655991993995,8891,0.10037141147650173,0.8996285885234983,78561,6920,1129,1971,LogisticRegression,light
0.6186320037075989,0.21801940891045435,0.6377419354838709,0.32495069033530577,9068,0.1023695826418758,0.8976304173581242,78390,7091,1123,1977,LogisticRegression,light
0.6148204186187861,0.21479558728098638,0.6406451612903226,0.32172363518548525,9246,0.1043790429098791,0.8956209570901209,78221,7260,1114,1986,LogisticRegression,light
0.6108552312302259,0.2117160140082776,0.6435483870967742,0.3186137506987143,9423,0.10637721407525316,0.8936227859247469,78053,7428,1105,1995,LogisticRegression,light
0.6072948222477204,0.20893656910738465,0.6470967741935484,0.3158806393197386,9601,0.10838667434325645,0.8916133256567436,77886,7595,1094,2006,LogisticRegression,light
0.603193621772036,0.20730210677030067,0.6538709677419355,0.314800434850132,9778,0.11038484550863052,0.8896151544913695,77730,7751,1073,2027,LogisticRegression,light
0.599294122382999,0.20439935717155483,0.6564516129032258,0.311734068627451,9956,0.11239430577663381,0.8876056942233662,77560,7921,1065,2035,LogisticRegression,light
