feature,importance
card1,6.502224988957441
C1,5.044175342691934
TransactionAmt,4.885173179088754
addr1,4.710648982316204
TransactionDT,4.673955827168341
C13,3.8772333997745045
card2,3.8565506596407566
P_emaildomain,3.3063333425793364
M5,2.7127065962009396
D2,2.515471262030303
D10,2.1948262918111774
M6,2.183073810628358
D15,1.949704539398551
C14,1.9468999793257282
dist1,1.5208585234016125
DeviceInfo,1.5168159475727805
card5,1.5167682164791731
M4,1.4007095871163524
C6,1.3795417397959282
ProductCD,1.2124932995957312
R_emaildomain,1.163311744364806
id_19,1.102537965235617
D4,1.073541697050959
M3,1.062055897702928
C11,1.056848052554683
D3,1.0236818485083736
C2,0.9765683220098081
D5,0.957487450884401
D1,0.9524510213759836
id_31,0.8243958169305856
C9,0.81406615407163
card6,0.7817266736565535
id_02,0.7662802771005576
id_20,0.6809170347048703
C5,0.6800486808661006
D11,0.6784772809186461
V308,0.6674657027216964
V307,0.6613568217189427
D8,0.6595274856989983
V82,0.6507847620608531
M8,0.6385036033573086
V91,0.6039495310595149
M9,0.5249457788213129
V317,0.5005341631080786
V310,0.46818915331965155
id_33,0.44751380175677513
card4,0.4349504100409421
V48,0.42558097389807464
V70,0.42149887291365934
V258,0.4213431260533239
V75,0.4160020154341532
V281,0.4035759696661987
id_05,0.3870667171343259
M7,0.3821724362135454
V285,0.35827548961568817
M2,0.34261008540773935
V67,0.3221262829220081
id_13,0.29498165115513447
V83,0.2877693428200704
V62,0.28096987604802015
V49,0.2788401419610335
V312,0.27673209395163323
V54,0.2628072933635684
V294,0.2554200370047142
id_06,0.25004320590815526
id_09,0.24454548603155202
id_15,0.2409392361924989
id_14,0.22998197343570717
V283,0.22787135491820112
V36,0.22611958087567666
V90,0.22598605604240982
V55,0.2236997360583806
V53,0.22019425615307706
V61,0.21480519287841787
V315,0.21242460070065608
V87,0.1975506063302093
D13,0.19610720188416617
card3,0.19504967031250353
V76,0.19497024035821006
V313,0.1923696501201537
id_18,0.19058512302635922
V10,0.18805389214356769
V12,0.18765486875007992
V30,0.1851938118465586
V127,0.18388327469650795
V133,0.17763005726226128
V311,0.17456852396633551
id_30,0.17094058728104705
DeviceType,0.16884543065513352
C8,0.16504695080646806
V165,0.1638356032480056
V136,0.1567197801859299
V45,0.15487426735879006
C12,0.1547899920862245
V29,0.1531207371983027
V187,0.15147701330955005
V130,0.15026316977107154
C3,0.1499638385513527
dist2,0.14421927113425465
V35,0.1397597490294795
id_01,0.1390920116574297
V201,0.13887687308503086
id_38,0.13819622593040065
V86,0.13541348912626391
V309,0.13260776952913716
V314,0.1255167937938481
id_34,0.1248225439927574
id_16,0.11725806156956692
D14,0.11516720001262455
V128,0.11433672784062152
V316,0.10931497202774633
D9,0.1092657158214252
V159,0.10917216563848238
V306,0.10868908517345527
V5,0.10612282223114174
V131,0.10561164487250836
V19,0.10110883005160277
V20,0.10023878235017887
V78,0.09950276441179812
V44,0.09896175805307927
V13,0.09823818961990653
V26,0.094961905041124
V150,0.09455840398445386
M1,0.0940364355493536
id_32,0.09128925524642817
D12,0.08851447568283216
V320,0.08623858343537015
V257,0.08572945952786515
V56,0.08516321391303545
V293,0.08489134739664665
id_29,0.08259279821279239
V280,0.0818127915355908
V102,0.08170312474765216
V23,0.0786237912608801
V291,0.07823532674639999
id_35,0.07563025634239909
V38,0.07521031212544055
id_36,0.07469211113225019
V74,0.07309913456510922
C10,0.0729146188112555
