threshold,precision,recall,f1,routed_count,routed_rate,heavy_call_reduction,tn,fp,fn,tp,model_name,model_role
0.9994838540025784,1.0,0.0003225806451612903,0.0006449532408900355,1,1.1289102629232002e-05,0.9999887108973707,85481,0,3099,1,HeavyRandomForest,heavy
0.9896165721243343,1.0,0.05741935483870968,0.10860280658938377,178,0.0020094602680032964,0.9979905397319967,85481,0,2922,178,HeavyRandomForest,heavy
0.9725984733483178,0.9915492957746479,0.1135483870967742,0.20376266280752536,355,0.004007631433377361,0.9959923685666227,85478,3,2748,352,HeavyRandomForest,heavy
0.9488847193751636,0.9511278195488722,0.16322580645161291,0.2786343612334802,532,0.006005802598751425,0.9939941974012486,85455,26,2594,506,HeavyRandomForest,heavy
0.9217291160832155,0.922425952045134,0.21096774193548387,0.3433972171173536,709,0.00800397376412549,0.9919960262358745,85426,55,2446,654,HeavyRandomForest,heavy
0.884646768518647,0.9018058690744921,0.257741935483871,0.40090316106372303,886,0.010002144929499555,0.9899978550705004,85394,87,2301,799,HeavyRandomForest,heavy
0.8530438502263642,0.8795860771401693,0.3016129032258065,0.4491952918568341,1063,0.012000316094873618,0.9879996839051264,85353,128,2165,935,HeavyRandomForest,heavy
0.8185724030412613,0.8564516129032258,0.34258064516129033,0.4894009216589862,1240,0.013998487260247683,0.9860015127397523,85303,178,2038,1062,HeavyRandomForest,heavy
0.7893565035392762,0.8392101551480959,0.38387096774193546,0.5267817618415228,1418,0.01600794752825098,0.983992052471749,85253,228,1910,1190,HeavyRandomForest,heavy
0.7565144960405147,0.8137931034482758,0.41870967741935483,0.5529286474973375,1595,0.018006118693625044,0.981993881306375,85184,297,1802,1298,HeavyRandomForest,heavy
0.7288783865364936,0.7799097065462754,0.4458064516129032,0.5673234811165846,1772,0.02000428985899911,0.9799957101410008,85091,390,1718,1382,HeavyRandomForest,heavy
0.7077504286120596,0.746023601847101,0.46903225806451615,0.5759556347791641,1949,0.02200246102437317,0.9779975389756268,84986,495,1646,1454,HeavyRandomForest,heavy
0.6887507134269849,0.7154280338664158,0.4906451612903226,0.582089552238806,2126,0.024000632189747236,0.9759993678102528,84876,605,1579,1521,HeavyRandomForest,heavy
0.6718509539376624,0.6877985236647851,0.5109677419354839,0.5863409217101611,2303,0.0259988033551213,0.9740011966448787,84762,719,1516,1584,HeavyRandomForest,heavy
0.6571849898278174,0.6580645161290323,0.5264516129032258,0.5849462365591398,2480,0.027996974520495366,0.9720030254795047,84633,848,1468,1632,HeavyRandomForest,heavy
0.643402532052251,0.6331828442437923,0.5429032258064516,0.5845779784647446,2658,0.03000643478849866,0.9699935652115014,84506,975,1417,1683,HeavyRandomForest,heavy
0.6309989721188131,0.6077601410934744,0.5558064516129032,0.5806234203875316,2835,0.03200460595387273,0.9679953940461272,84369,1112,1377,1723,HeavyRandomForest,heavy
0.6196542948135627,0.5859893758300133,0.5693548387096774,0.5775523560209425,3012,0.03400277711924679,0.9659972228807532,84234,1247,1335,1765,HeavyRandomForest,heavy
0.6091828465905335,0.5628723737848855,0.5790322580645161,0.570837971060582,3189,0.03600094828462085,0.9639990517153791,84087,1394,1305,1795,HeavyRandomForest,heavy
0.6005811152980246,0.5412953060011884,0.587741935483871,0.5635632539437055,3366,0.03799911944999492,0.9620008805500051,83937,1544,1278,1822,HeavyRandomForest,heavy
0.5921047846025169,0.5227208580299182,0.5974193548387097,0.5575794068944755,3543,0.03999729061536898,0.9600027093846311,83790,1691,1248,1852,HeavyRandomForest,heavy
0.5843190105108163,0.5059139784946236,0.6070967741935483,0.5519061583577712,3720,0.04199546178074305,0.9580045382192569,83643,1838,1218,1882,HeavyRandomForest,heavy
0.5751626647070481,0.4887121600820934,0.614516129032258,0.5444412689339811,3898,0.04400492204874634,0.9559950779512536,83488,1993,1195,1905,HeavyRandomForest,heavy
0.5672079938628958,0.4750920245398773,0.6245161290322581,0.5396515679442508,4075,0.04600309321412041,0.9539969067858796,83342,2139,1164,1936,HeavyRandomForest,heavy
0.5591245639463491,0.4616650987770461,0.6332258064516129,0.5340043525571272,4252,0.04800126437949447,0.9519987356205055,83192,2289,1137,1963,HeavyRandomForest,heavy
