heavy_threshold,precision,recall,f1,tn,fp,fn,tp,predicted_fraud_count,light_model,heavy_model,light_recall_target,light_threshold,routed_rate
0.9999822212193916,1.0,0.0003225806451612903,0.0006449532408900355,85481,0,3099,1,1,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.9994204757621377,0.9936305732484076,0.05032258064516129,0.09579367516119129,85480,1,2944,156,157,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.9987626491845167,0.9904458598726115,0.1003225806451613,0.182190978324546,85478,3,2789,311,314,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.9978261457134344,0.9893842887473461,0.1503225806451613,0.260991318958275,85476,5,2634,466,471,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.9967156397001958,0.9840764331210191,0.1993548387096774,0.3315450643776824,85471,10,2482,618,628,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.9953707513002451,0.9821656050955414,0.24870967741935485,0.3969111969111969,85467,14,2329,771,785,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.9933820799603081,0.9798301486199575,0.29774193548387096,0.45670460168233545,85462,19,2177,923,942,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.9904085192816736,0.9736123748862603,0.34516129032258064,0.5096451536080019,85452,29,2030,1070,1099,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.9868696897458302,0.9697452229299363,0.3929032258064516,0.559228650137741,85443,38,1882,1218,1256,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.9816554993681682,0.9646142958244869,0.4396774193548387,0.6040327941502326,85431,50,1737,1363,1413,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.9745617227159896,0.9598726114649682,0.48612903225806453,0.6453961456102784,85418,63,1593,1507,1570,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.9651532948136529,0.9496236247828604,0.5290322580645161,0.6795110834887094,85394,87,1460,1640,1727,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.9496691061031031,0.9378980891719745,0.57,0.7090690208667737,85364,117,1333,1767,1884,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.9315871810010669,0.9240568348848603,0.6083870967741936,0.733709395059327,85326,155,1214,1886,2041,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.9070967660395364,0.9008189262966333,0.6387096774193548,0.7474518686296716,85263,218,1120,1980,2198,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.8826643640478772,0.8789808917197452,0.667741935483871,0.7589367552703942,85196,285,1030,2070,2355,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.8592126200695989,0.8531050955414012,0.6912903225806452,0.7637205987170348,85112,369,957,2143,2512,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.834809594768657,0.8250281004121394,0.7103225806451613,0.7633905356214249,85014,467,898,2202,2669,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.8083012949088314,0.7993630573248408,0.7287096774193549,0.7624029699628755,84914,567,841,2259,2826,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.7828611841719639,0.7703654039557493,0.7412903225806452,0.7555482492191353,84796,685,802,2298,2983,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.7575496418195781,0.7423566878980892,0.7519354838709678,0.7471153846153846,84672,809,769,2331,3140,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.736154640189659,0.7154989384288747,0.7609677419354839,0.7375332186962639,84543,938,741,2359,3297,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.7152442916415536,0.6899247249565721,0.7687096774193548,0.7271895025938359,84410,1071,717,2383,3454,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.6932875399456443,0.6665743561340349,0.7764516129032258,0.7173297571151841,84277,1204,693,2407,3611,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.6740576501511377,0.6451698513800425,0.7841935483870968,0.7079207920792079,84144,1337,669,2431,3768,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.6541403047554198,0.6221656050955414,0.787741935483871,0.6952313167259786,83998,1483,658,2442,3925,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.6356876955804478,0.602155805977462,0.7929032258064516,0.6844890002784739,83857,1624,642,2458,4082,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.6200199322226819,0.5815050719509318,0.7951612903225806,0.6717536449107507,83707,1774,635,2465,4239,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.6035440707972226,0.565059144676979,0.8012903225806451,0.6627534685165422,83569,1912,616,2484,4396,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.5892875105230965,0.5497474192839886,0.8074193548387096,0.6541225663138639,83431,2050,597,2503,4553,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.5746046324837618,0.5339702760084926,0.8112903225806452,0.64404609475032,83286,2195,585,2515,4710,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.5607388871755753,0.5179782206698171,0.8132258064516129,0.6328605497677922,83135,2346,579,2521,4867,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.5470605513271589,0.503781847133758,0.8164516129032258,0.6230920728705072,82988,2493,569,2531,5024,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.5343357112612501,0.4896738081451457,0.8183870967741935,0.6127279314092501,82837,2644,563,2537,5181,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.5222636984027044,0.4767703259647808,0.8209677419354838,0.60322351268073,82688,2793,555,2545,5338,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.510648504510521,0.4642402183803458,0.8229032258064516,0.5936009307737056,82537,2944,549,2551,5495,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.5000015014068708,0.45205237084217975,0.8241935483870968,0.5838665447897623,82384,3097,545,2555,5652,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.48886481736876103,0.44138405921845414,0.8270967741935484,0.5755977101807161,82236,3245,536,2564,5809,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.4793170706024608,0.4311096211867248,0.8296774193548387,0.5673946613721598,82087,3394,528,2572,5966,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.468417582074988,0.420708802874408,0.8309677419354838,0.5586034912718204,81934,3547,524,2576,6123,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.4596432834409126,0.41146496815286626,0.8335483870967741,0.5509594882729211,81785,3696,516,2584,6280,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.4512063007311608,0.4022059965822588,0.8351612903225807,0.5429380308273041,81633,3848,511,2589,6437,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.4422074164318853,0.39262966333030025,0.8351612903225807,0.5341448318547556,81476,4005,511,2589,6594,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.4336659069861959,0.38483187675899866,0.8380645161290322,0.5274591412039387,81328,4153,502,2598,6751,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.42491670482169147,0.3765199768384482,0.8390322580645161,0.5197841726618705,81174,4307,499,2601,6908,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.41699783230035464,0.3690021231422505,0.8409677419354838,0.5129365469749139,81023,4458,493,2607,7065,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.4099056702450962,0.3615342010523401,0.8422580645161291,0.5059097074210424,80870,4611,489,2611,7222,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.40192066376640556,0.3542485431630302,0.8432258064516129,0.49890256703883956,80716,4765,486,2614,7379,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.3943517327368531,0.34726645435244163,0.8441935483870968,0.4921022940955246,80562,4919,483,2617,7536,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.3881668137767867,0.34069933705966465,0.8454838709677419,0.48568516631149816,80409,5072,479,2621,7693,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.381846541315614,0.3347770700636943,0.847741935483871,0.4800000000000001,80259,5222,472,2628,7850,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.37533116801707195,0.3294617209941301,0.8509677419354839,0.475015755829657,80112,5369,462,2638,8007,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.3691474508688197,0.32349338559529645,0.8519354838709677,0.4689275568181818,79958,5523,459,2641,8164,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.36335978377538347,0.3176300925369547,0.8525806451612903,0.4628316259521933,79803,5678,457,2643,8321,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.3564315366636567,0.31210191082802546,0.8535483870967742,0.4570737605804111,79649,5832,454,2646,8478,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.3511050929534804,0.30689056166763173,0.8548387096774194,0.4516403919897742,79496,5985,450,2650,8635,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.345038962417389,0.3015241128298453,0.8551612903225806,0.44584594685502865,79340,6141,449,2651,8792,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.33972692515445735,0.29645770477148287,0.8558064516129033,0.4403684953108142,79185,6296,447,2653,8949,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.3344865253816103,0.29156600043927083,0.8564516129032258,0.4350319514992627,79030,6451,445,2655,9106,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
