threshold,precision,recall,f1,tn,fp,fn,tp,predicted_fraud_count,positive_prediction_rate,trial_name,model_family
0.9999324083328247,1.0,0.0003225806451612903,0.0006449532408900355,85481,0,3099,1,1,1.1289102629232002e-05,xgb_d8_full_weight,XGBoost
0.9989470839500427,0.995575221238938,0.07258064516129033,0.13529765484064946,85480,1,2875,225,226,0.0025513371942064325,xgb_d8_full_weight,XGBoost
0.9970690608024597,0.9955357142857143,0.14387096774193547,0.2514092446448703,85479,2,2654,446,448,0.005057517977895937,xgb_d8_full_weight,XGBoost
0.9942418932914734,0.9866071428571429,0.21387096774193548,0.35153764581124075,85472,9,2437,663,672,0.007586276966843906,xgb_d8_full_weight,XGBoost
0.9892459511756897,0.9753914988814317,0.2812903225806452,0.4366549824737106,85459,22,2228,872,894,0.01009245775053341,xgb_d8_full_weight,XGBoost
0.9801635146141052,0.9614349775784753,0.34580645161290324,0.5086595492289443,85438,43,2028,1072,1115,0.012587349431593682,xgb_d8_full_weight,XGBoost
0.9642913937568665,0.9550898203592815,0.41161290322580646,0.5752930568079351,85421,60,1824,1276,1336,0.015082241112653955,xgb_d8_full_weight,XGBoost
0.9431886076927185,0.938985228002569,0.47161290322580646,0.6278720206141292,85386,95,1638,1462,1557,0.01757713279371423,xgb_d8_full_weight,XGBoost
0.9180808067321777,0.924114671163575,0.5303225806451612,0.673908587825374,85346,135,1456,1644,1779,0.02008331357740373,xgb_d8_full_weight,XGBoost
0.8846941590309143,0.901,0.5812903225806452,0.7066666666666667,85283,198,1298,1802,2000,0.022578205258464004,xgb_d8_full_weight,XGBoost
0.848916232585907,0.8644754615038271,0.6193548387096774,0.7216688592369855,85180,301,1180,1920,2221,0.025073096939524277,xgb_d8_full_weight,XGBoost
0.8114120960235596,0.8296478296478297,0.6535483870967742,0.7311439913388668,85065,416,1074,2026,2442,0.02756798862058455,xgb_d8_full_weight,XGBoost
0.7813104391098022,0.7931681681681682,0.6816129032258065,0.7331714087439278,84930,551,987,2113,2664,0.030074169404274053,xgb_d8_full_weight,XGBoost
0.750571608543396,0.7611785095320623,0.7083870967741935,0.7338345864661654,84792,689,904,2196,2885,0.032569061085334326,xgb_d8_full_weight,XGBoost
0.7203097939491272,0.7269800386349002,0.7283870967741936,0.7276828875281987,84633,848,842,2258,3106,0.035063952766394596,xgb_d8_full_weight,XGBoost
0.6920105218887329,0.6916140667267808,0.7422580645161291,0.7160416990819978,84455,1026,799,2301,3327,0.03755884444745487,xgb_d8_full_weight,XGBoost
